Algoritmo;Tamano_Problema;Semilla;Generacion;Makespan
Memetico;Mediana (50x10);14;27;3046
Memetico;Mediana (50x10);14;211;3043
Memetico;Mediana (50x10);15;0;3135
Memetico;Mediana (50x10);15;1;3103
Memetico;Mediana (50x10);15;7;3080
Memetico;Mediana (50x10);15;12;3078
Memetico;Mediana (50x10);15;16;3067
Memetico;Mediana (50x10);15;17;3062
Memetico;Mediana (50x10);15;22;3060
Memetico;Mediana (50x10);15;38;3057
Memetico;Mediana (50x10);15;45;3056
Memetico;Mediana (50x10);15;50;3055
Memetico;Mediana (50x10);16;0;3135
Memetico;Mediana (50x10);16;1;3103
Memetico;Mediana (50x10);16;21;3066
Memetico;Mediana (50x10);16;121;3063
Memetico;Mediana (50x10);16;122;3059
Memetico;Mediana (50x10);16;149;3057
Memetico;Mediana (50x10);17;0;3135
Memetico;Mediana (50x10);17;1;3103
Memetico;Mediana (50x10);17;9;3091
Memetico;Mediana (50x10);17;11;3082
Memetico;Mediana (50x10);17;19;3063
Memetico;Mediana (50x10);18;0;3135
Memetico;Mediana (50x10);18;1;3103
Memetico;Mediana (50x10);18;16;3095
Memetico;Mediana (50x10);18;19;3092
Memetico;Mediana (50x10);18;20;3082
Memetico;Mediana (50x10);18;23;3081
Memetico;Mediana (50x10);18;24;3060
Memetico;Mediana (50x10);18;26;3059
Memetico;Mediana (50x10);19;0;3135
Memetico;Mediana (50x10);19;1;3103
Memetico;Mediana (50x10);19;11;3083
Memetico;Mediana (50x10);19;13;3062
Memetico;Mediana (50x10);19;23;3052
Memetico;Mediana (50x10);19;33;3046
Memetico;Mediana (50x10);19;36;3043
Memetico;Mediana (50x10);20;0;3135
Memetico;Mediana (50x10);20;1;3103
Memetico;Mediana (50x10);20;3;3079
Memetico;Mediana (50x10);20;8;3062
Memetico;Mediana (50x10);20;12;3054
Memetico;Mediana (50x10);20;14;3041
Memetico;Mediana (50x10);20;22;3039
Memetico;Mediana (50x10);20;23;3036
Memetico;Mediana (50x10);20;29;3034
Memetico;Mediana (50x10);21;0;3135
Memetico;Mediana (50x10);21;1;3103
Memetico;Mediana (50x10);21;15;3095
Memetico;Mediana (50x10);21;19;3077
Memetico;Mediana (50x10);21;22;3069
Memetico;Mediana (50x10);21;29;3060
Memetico;Mediana (50x10);21;32;3059
Memetico;Mediana (50x10);21;39;3051
Memetico;Mediana (50x10);21;52;3049
Memetico;Mediana (50x10);22;0;3135
Memetico;Mediana (50x10);22;1;3103
Memetico;Mediana (50x10);22;7;3098
Memetico;Mediana (50x10);22;8;3063
Memetico;Mediana (50x10);22;12;3055
Memetico;Mediana (50x10);22;67;3054
Memetico;Mediana (50x10);22;126;3052
Memetico;Mediana (50x10);23;0;3135
Memetico;Mediana (50x10);23;1;3103
Memetico;Mediana (50x10);23;9;3100
Memetico;Mediana (50x10);23;12;3083
Memetico;Mediana (50x10);23;16;3067
Memetico;Mediana (50x10);23;21;3048
Memetico;Mediana (50x10);23;24;3039
Memetico;Mediana (50x10);23;77;3038
Memetico;Mediana (50x10);24;0;3135
Memetico;Mediana (50x10);24;1;3103
Memetico;Mediana (50x10);24;3;3046
Memetico;Mediana (50x10);24;11;3034
Memetico;Mediana (50x10);25;0;3135
Memetico;Mediana (50x10);25;1;3103
Memetico;Mediana (50x10);25;3;3079
Memetico;Mediana (50x10);25;18;3071
Memetico;Mediana (50x10);25;19;3057
Memetico;Mediana (50x10);25;25;3052
Memetico;Mediana (50x10);25;26;3050
Memetico;Mediana (50x10);25;28;3046
Memetico;Mediana (50x10);25;29;3043
Memetico;Mediana (50x10);25;30;3034
Memetico;Mediana (50x10);26;0;3135
Memetico;Mediana (50x10);26;1;3103
Memetico;Mediana (50x10);26;8;3092
Memetico;Mediana (50x10);26;9;3081
Memetico;Mediana (50x10);26;15;3073
Memetico;Mediana (50x10);26;16;3053
Memetico;Mediana (50x10);26;19;3043
Memetico;Mediana (50x10);26;21;3042
Memetico;Mediana (50x10);26;22;3039
Memetico;Mediana (50x10);26;34;3034
Memetico;Mediana (50x10);26;64;3026
Memetico;Mediana (50x10);26;284;3025
Memetico;Mediana (50x10);27;0;3135
Memetico;Mediana (50x10);27;1;3103
Memetico;Mediana (50x10);27;4;3100
Memetico;Mediana (50x10);27;7;3082
Memetico;Mediana (50x10);27;12;3078
Memetico;Mediana (50x10);27;14;3059
Memetico;Mediana (50x10);27;19;3048
Memetico;Mediana (50x10);28;0;3135
Memetico;Mediana (50x10);28;1;3103
Memetico;Mediana (50x10);28;5;3082
Memetico;Mediana (50x10);28;12;3059
Memetico;Mediana (50x10);28;24;3047
Memetico;Mediana (50x10);28;30;3046
Memetico;Mediana (50x10);28;59;3045
Memetico;Mediana (50x10);28;60;3038
Memetico;Mediana (50x10);29;0;3135
Memetico;Mediana (50x10);29;1;3103
Memetico;Mediana (50x10);29;4;3093
Memetico;Mediana (50x10);29;8;3085
Memetico;Mediana (50x10);29;13;3070
Memetico;Mediana (50x10);29;38;3046
Memetico;Mediana (50x10);29;41;3044
Memetico;Mediana (50x10);29;44;3034
Memetico;Mediana (50x10);30;0;3135
Memetico;Mediana (50x10);30;1;3103
Memetico;Mediana (50x10);30;12;3089
Memetico;Mediana (50x10);30;14;3088
Memetico;Mediana (50x10);30;20;3071
Memetico;Mediana (50x10);30;32;3066
Memetico;Mediana (50x10);30;35;3056
Memetico;Mediana (50x10);30;40;3037
